#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1520527958474741167,-0.1007931761,0.0516897516,0.0603467801,0.9296921410,0.4616013360,9.7992666975
1520527958479757167,-0.1038251337,0.0376933716,0.0634922234,0.8996279482,0.4484131328,9.7577350043
1520527958484773167,-0.1015766443,0.0274936140,0.0642218526,0.8960202451,0.4232314649,9.6996874779
1520527958489789167,-0.1000774331,0.0202052210,0.0657867505,0.8815894325,0.4484145377,9.6742362154
1520527958494807167,-0.0935481093,0.0161247553,0.0670962220,0.8731714585,0.4028478572,9.6243903957
1520527958499822167,-0.0855090990,0.0140874857,0.0673362711,0.8503226720,0.3896590921,9.5862749040
1520527958504837167,-0.0777227989,0.0097132140,0.0697233695,0.8202584792,0.3848648719,9.5726264803
1520527958509852167,-0.0639102469,0.0044795351,0.0674933170,0.7877891509,0.3836682603,9.5834029818
1520527958514870167,-0.0536208888,-0.0024950883,0.0620099094,0.7312684684,0.3872700836,9.5746524598
1520527958519885167,-0.0450902266,-0.0091790163,0.0565319919,0.7060145464,0.3848737696,9.6062784914
1520527958524900167,-0.0343020972,-0.0184823337,0.0502182285,0.7444967133,0.3548922619,9.6117438828
1520527958529917167,-0.0247713832,-0.0274903882,0.0422857464,0.7000017079,0.3500991656,9.6307759505
1520527958534933167,-0.0122332182,-0.0408607449,0.0316088584,0.6603169733,0.3417082735,9.6137382435
1520527958539949167,-0.0054774744,-0.0548103076,0.0187738916,0.6747477859,0.3417071495,9.5578148730
1520527958544964167,0.0032878249,-0.0690490104,0.0053918762,0.7048119787,0.3285142634,9.5412650940
1520527958549980167,0.0123093941,-0.0797917288,-0.0076933830,0.7348761716,0.2721523220,9.5305681309
1520527958554997167,0.0203300335,-0.0882074070,-0.0194062611,0.8058276666,0.2421682855,9.5252581902
1520527958560012167,0.0265983515,-0.0934265573,-0.0281154134,0.7829788801,0.2289795203,9.4824941227
1520527958565029167,0.0323662243,-0.0983603475,-0.0346570420,0.7288633330,0.2697545094,9.5201696993
1520527958570044167,0.0383926995,-0.0977570047,-0.0414274446,0.6687349473,0.2877462988,9.5207374120
1520527958575059167,0.0406500491,-0.0951074343,-0.0511512896,0.6458861608,0.2973412017,9.5488419083
1520527958580075167,0.0426725931,-0.0822682451,-0.0575503091,0.6326579159,0.2505757555,9.5722591472
1520527958585092167,0.0434369649,-0.0729363606,-0.0601860295,0.5809475043,0.2541772041,9.6076232752
1520527958590107167,0.0452073711,-0.0618506760,-0.0647040995,0.4823369518,0.3057479224,9.5980735127
1520527958595124167,0.0442023640,-0.0571685213,-0.0722419484,0.4282214047,0.3033538563,9.5962782910
1520527958600139167,0.0414416092,-0.0498638667,-0.0800270683,0.4270188370,0.2805702819,9.6288522442
1520527958605154167,0.0419485742,-0.0422680044,-0.0872749407,0.4198034308,0.2122198397,9.5755305050
1520527958610170167,0.0444632875,-0.0375895704,-0.0929255024,0.4582855976,0.1930305958,9.6077146833
1520527958615187167,0.0442187710,-0.0300020162,-0.0971959698,0.4703112747,0.1810382550,9.5309078252
1520527958620204167,0.0434755303,-0.0189151309,-0.1025210103,0.4931600612,0.2349977945,9.4434720123
1520527958625218167,0.0460065172,-0.0040462512,-0.1051177591,0.4751215456,0.2973545014,9.3215616673
1520527958630235167,0.0548278118,0.0187019418,-0.1111832494,0.5172114155,0.4124687040,9.1908796109
1520527958635251167,0.0629040386,0.0425913393,-0.1083104326,0.5111985769,0.5743531294,9.2256445940
1520527958640267167,0.0687160159,0.0615124736,-0.1003308357,0.4426522173,0.6475060339,9.2913205139
1520527958645282167,0.0722676289,0.0833553082,-0.0955713582,0.4510701913,0.6235225698,9.3551798828
1520527958650298167,0.0760659734,0.1049206969,-0.0959549425,0.4775266810,0.6271179305,9.3828103185
1520527958655315167,0.0811233995,0.1253071996,-0.0912093808,0.5617064209,0.6942632381,9.5144098923
1520527958660329167,0.0778877761,0.1410079047,-0.0789087014,0.6326579159,0.7686044184,9.6159154629
1520527958665347167,0.0723910316,0.1558277428,-0.0644461237,0.6951914370,0.8081711820,9.7175368797
1520527958670361167,0.0661332594,0.1639388854,-0.0475983637,0.6891785985,0.8525398460,9.7698486174
1520527958675377167,0.0561074475,0.1697021780,-0.0250799237,0.6843683276,0.8993066971,9.7721741213
1520527958680394167,0.0485874613,0.1734413320,-0.0079926304,0.6170245357,0.9113033463,9.8541679879
1520527958685409167,0.0377876608,0.1696119496,0.0057963793,0.6098091294,0.8885202402,9.9007461938
1520527958690426167,0.0244743388,0.1634417652,0.0228188222,0.6314553482,0.8477477800,9.9412502987
1520527958695442167,0.0119147329,0.1555162847,0.0425319855,0.5881629106,0.8297640454,9.9858506911
1520527958700457167,-0.0009016212,0.1458525966,0.0584446344,0.5376550666,0.8153782940,9.9596270246
1520527958705473167,-0.0109605880,0.1338712987,0.0697350845,0.4835395195,0.7698151726,9.9450903156
1520527958710488167,-0.0215171344,0.1265563269,0.0794387620,0.4101828891,0.6990716009,9.9853862095
1520527958715505167,-0.0303189837,0.1177931343,0.0861520521,0.3440416648,0.6307257481,10.0279338223
1520527958720520167,-0.0363589177,0.1087461961,0.0904230722,0.3440416648,0.5180065483,10.0013144293
1520527958725535167,-0.0421446871,0.1040803224,0.0909393293,0.3704981545,0.4532509049,10.0232007975
1520527958730552167,-0.0486836983,0.0979484894,0.0946924218,0.3416365294,0.3609193401,10.0235717580
1520527958735569167,-0.0522090954,0.0932878723,0.0935812030,0.2358105707,0.2601997866,9.9828628451
1520527958740584167,-0.0547309634,0.0895112722,0.0889576899,0.1636565079,0.1882569808,9.9801488770
1520527958745601167,-0.0585127952,0.0854529934,0.0805466448,0.0806793357,0.1199124392,9.9891581859
1520527958750617167,-0.0540018439,0.0849106034,0.0661948651,0.0169432469,0.0851423309,9.9921367526
1520527958755632167,-0.0479729379,0.0913598475,0.0527052768,0.0361843303,0.0995305174,9.7246423302
1520527958760647167,-0.0399181988,0.1091738758,0.0392986551,0.0458048720,0.1391014021,9.6199171456
1520527958765664167,-0.0311131229,0.1258292172,0.0234468278,0.1696693465,0.1235029297,9.6210510141
1520527958770681167,-0.0222916009,0.1515036388,0.0128042881,0.1865052944,0.0935231078,9.4709998067
1520527958775694167,-0.0167338862,0.1786300609,0.0035316608,0.2069489456,0.0815301114,9.3859760055
1520527958780712167,-0.0101619122,0.2127515624,-0.0062305712,0.2442285447,0.0107779229,9.2927106234
1520527958785728167,-0.0060991903,0.2483231745,-0.0138126533,0.2875209823,0.0119736916,9.2306944425
1520527958790743167,-0.0037903735,0.2859257764,-0.0183999020,0.3091672012,0.0527427801,9.2269575621
1520527958795759167,-0.0024863560,0.3238193690,-0.0229830606,0.2935338209,0.0911164912,9.1468843761
1520527958800776167,-0.0029415206,0.3608344767,-0.0262168920,0.2526465187,0.0863231140,9.0915041156
1520527958805791167,-0.0036542291,0.3940651292,-0.0308318862,0.2706850343,0.1007113942,9.0459908935
1520527958810806167,-0.0066300777,0.4267143118,-0.0362587638,0.2598619249,0.0467509181,9.1158774965
1520527958815823167,-0.0111227402,0.4520753768,-0.0406562346,0.2069489456,0.0347636349,9.1849707057
1520527958820839167,-0.0166289484,0.4745367713,-0.0504849872,-0.0095132428,-0.0287739488,9.3138132818
1520527958825854167,-0.0181454211,0.4798335491,-0.0699214759,-0.2680653011,-0.2266119818,9.3502249846
1520527958830871167,-0.0179495019,0.4595285130,-0.1041663414,-0.3979426141,-0.4316548789,9.9862196867
1520527958835886167,-0.0218690302,0.3742642765,-0.1467453185,-0.3750938275,-0.5263887519,10.6322417070
1520527958840902167,-0.0220368159,0.2723765733,-0.1835060025,-0.4941480311,-0.6906617175,10.6626143059
1520527958845919167,-0.0136739002,0.1620486221,-0.2227819376,-0.6745331880,-0.8609256087,10.9283427881
1520527958850934167,-0.0025879559,0.0249304030,-0.2682195403,-0.7875745530,-0.9676403023,11.2049752518
1520527958855950167,0.0150154413,-0.1220828607,-0.3172619593,-0.8946030795,-1.0731563238,11.0248254468
1520527958860965167,0.0404336479,-0.2524907100,-0.3637572178,-0.7947899593,-1.1523073656,10.7078279480
1520527958865982167,0.0754380697,-0.3590158554,-0.4046770009,-0.7154204903,-1.1499152663,10.2793841004
1520527958871000167,0.1162576875,-0.4416546748,-0.4419081289,-0.5939611513,-1.0671840367,9.8911272685
1520527958876013167,0.1656690945,-0.4960564415,-0.4675765587,-0.3714861244,-0.8813345982,9.5912717332
1520527958881030167,0.2153712005,-0.5289291626,-0.4806358356,-0.1261623109,-0.5503909480,9.3875102600
1520527958886046167,0.2618500441,-0.5376539411,-0.4802477802,0.0662485231,-0.2290363001,9.2354074980
1520527958891061167,0.3030749152,-0.5347501726,-0.4705624397,0.1624539402,0.0227756960,9.2690898508
1520527958896077167,0.3438075150,-0.5289538803,-0.4530081040,0.3223954460,0.2781801495,9.3927955561
1520527958901093167,0.3749944052,-0.5225880298,-0.4319144899,0.5244268218,0.5407761673,9.5695431903
1520527958906109167,0.3994049656,-0.5159611335,-0.4005253071,0.8671586200,0.8849027757,9.7808682804
1520527958911124167,0.4120284387,-0.4991739140,-0.3565912692,0.9934282298,1.1990677324,9.9908430823
1520527958916141167,0.4166183586,-0.4756843587,-0.3139438947,0.7529146872,1.2554460643,10.0721549235
1520527958921157167,0.4166740087,-0.4527458369,-0.2837376765,0.6338604837,1.1859051921,10.1930823730
1520527958926172167,0.4079258533,-0.4312465592,-0.2613720694,0.5340473635,1.1403456297,10.3719063526
1520527958931188167,0.3903750685,-0.4147028075,-0.2395690112,0.5148062801,1.0084416817,10.5663003012
1520527958936205167,0.3614954267,-0.4115598903,-0.2205526714,0.6098091294,0.9436806997,10.7339496194
1520527958941220167,0.3250833749,-0.4037585027,-0.2012162146,0.7312684684,0.8645279721,10.7700331916
1520527958946237167,0.2854133181,-0.3921827795,-0.1772455101,0.9020330837,0.8093542129,10.8102620456
1520527958951252167,0.2422394616,-0.3709971159,-0.1515716343,1.0451386415,0.7601783100,10.7217562902
1520527958956267167,0.1995840021,-0.3363995544,-0.1287724348,1.0860259437,0.7409888788,10.5203261236
