#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520527960237865414,-0.1986969748,-0.1762659604,0.5823374105,0.9994042349,0.0178526584,-0.0213729431,-0.0203876233
1520527960246199414,-0.1990098630,-0.1721415141,0.5835919477,0.9995203214,0.0164688834,-0.0181840184,-0.0189009094
1520527960254532414,-0.1986040685,-0.1679187046,0.5851863843,0.9993801702,0.0174968492,-0.0202236112,-0.0228941315
1520527960262865414,-0.1986303728,-0.1633877201,0.5862083209,0.9994450734,0.0181492079,-0.0175534472,-0.0217262061
1520527960271199414,-0.1980723747,-0.1594242344,0.5879214441,0.9994087453,0.0188398600,-0.0178357358,-0.0225633800
1520527960279532414,-0.1979694433,-0.1550051131,0.5890040546,0.9994516482,0.0180076160,-0.0176057180,-0.0214980762
1520527960287865414,-0.1976397184,-0.1511415924,0.5905049441,0.9993908720,0.0177575062,-0.0182637352,-0.0238535507
1520527960329532414,-0.1963084693,-0.1308871261,0.5976215057,0.9991734365,0.0229435411,-0.0171250702,-0.0288577501
1520527960337865414,-0.1959534718,-0.1272650514,0.5994948984,0.9991381521,0.0223066020,-0.0177976151,-0.0301432149
1520527960346198414,-0.1955070186,-0.1233323009,0.6010532626,0.9991110542,0.0227141206,-0.0183480887,-0.0304058820
1520527960354532414,-0.1950625021,-0.1196270743,0.6028634727,0.9991086270,0.0232723023,-0.0171547891,-0.0307581648
1520527960362865414,-0.1949117731,-0.1155762017,0.6042898298,0.9990993567,0.0242564396,-0.0159817998,-0.0309302862
1520527960371199414,-0.1944318391,-0.1117306999,0.6058086857,0.9990345014,0.0247618152,-0.0158284525,-0.0326554375
1520527960379532414,-0.1944441026,-0.1080012565,0.6074967969,0.9990176917,0.0246417202,-0.0157119026,-0.0333102592
1520527960387865414,-0.1938178492,-0.1045349072,0.6094503006,0.9990410680,0.0230009320,-0.0156078963,-0.0338274333
1520527960396199414,-0.1933340389,-0.1009692629,0.6111396995,0.9991029791,0.0227147825,-0.0142045523,-0.0327949151
1520527960404532414,-0.1929913871,-0.0973287719,0.6127406932,0.9990409293,0.0231786928,-0.0140266816,-0.0343979947
1520527960412865414,-0.1932381247,-0.0941671866,0.6150642322,0.9990389497,0.0206681259,-0.0125910579,-0.0365440945
1520527960421198414,-0.1927833192,-0.0911656147,0.6167236104,0.9990634858,0.0192006127,-0.0129806799,-0.0365375107
1520527960429532414,-0.1924279131,-0.0876924931,0.6184220390,0.9990806865,0.0181405428,-0.0122931109,-0.0368453786
1520527960437865414,-0.1924566857,-0.0845622178,0.6202119487,0.9990637673,0.0168376847,-0.0114938671,-0.0381572046
1520527960446199414,-0.1921604302,-0.0813358347,0.6217780495,0.9990021817,0.0167474413,-0.0116204857,-0.0397382494
1520527960454532414,-0.1917521624,-0.0787869961,0.6238143751,0.9989944591,0.0130961381,-0.0123894385,-0.0410495279
1520527960462865414,-0.1915742712,-0.0755897137,0.6253849945,0.9989935542,0.0128685743,-0.0121449972,-0.0412162280
1520527960471198414,-0.1912850452,-0.0724738525,0.6265389677,0.9989771785,0.0136428703,-0.0118294734,-0.0414551869
1520527960479532414,-0.1911595036,-0.0697148309,0.6282983467,0.9989560410,0.0117212663,-0.0104246254,-0.0429041628
1520527960487865414,-0.1906002276,-0.0671011671,0.6300179311,0.9988999550,0.0105812722,-0.0126135393,-0.0439068918
1520527960496199414,-0.1898774949,-0.0646689354,0.6315405039,0.9989629866,0.0096327776,-0.0122930851,-0.0427672894
1520527960504532414,-0.1900985083,-0.0620925751,0.6332489794,0.9989134998,0.0080836886,-0.0117521068,-0.0443662248
1520527960512865414,-0.1894383191,-0.0598571227,0.6346621290,0.9988974272,0.0072483712,-0.0129303016,-0.0445443420
1520527960521199414,-0.1891895948,-0.0569632979,0.6357039666,0.9988501086,0.0080178925,-0.0131075590,-0.0454132778
1520527960529532414,-0.1888820714,-0.0548027623,0.6371155936,0.9988536454,0.0066480772,-0.0129035796,-0.0456146433
1520527960537865414,-0.1887872818,-0.0523869405,0.6382167666,0.9987800615,0.0072101760,-0.0141648096,-0.0467521154
1520527960546198414,-0.1879272672,-0.0509103459,0.6398878238,0.9987848712,0.0044548588,-0.0160966778,-0.0463662835
1520527960554532414,-0.1877890349,-0.0491303977,0.6412576013,0.9987404855,0.0043573969,-0.0168823068,-0.0470472470
1520527960562865414,-0.1874256977,-0.0472539123,0.6422905456,0.9987304794,0.0046508371,-0.0178182793,-0.0468861191
1520527960571199414,-0.1872949471,-0.0455942456,0.6436103023,0.9986841903,0.0035793322,-0.0178771225,-0.0479320864
1520527960579532414,-0.1868163349,-0.0442535640,0.6445480937,0.9986803768,0.0033987058,-0.0186980746,-0.0477109604
1520527960587865414,-0.1866240986,-0.0428041704,0.6456147908,0.9986214074,0.0030186750,-0.0196894734,-0.0485643593
1520527960596198414,-0.1863301220,-0.0418202650,0.6466658814,0.9986151670,0.0024922270,-0.0202371430,-0.0484973710
1520527960604532414,-0.1860403857,-0.0408328518,0.6476952701,0.9986192108,0.0022390406,-0.0208165177,-0.0481801931
1520527960612865414,-0.1857568506,-0.0400882003,0.6487246960,0.9986006208,0.0014723032,-0.0213464947,-0.0483627917
1520527960621199414,-0.1857394861,-0.0391549548,0.6497236952,0.9985569049,0.0010288610,-0.0213200336,-0.0492798665
1520527960629532414,-0.1854837683,-0.0387270810,0.6506316716,0.9986112323,0.0005753275,-0.0211423624,-0.0482522147
1520527960637865414,-0.1851377412,-0.0382095634,0.6514828616,0.9986110445,0.0001210141,-0.0216452853,-0.0480359106
1520527960646199414,-0.1849937005,-0.0379840739,0.6524511659,0.9986326427,-0.0007106325,-0.0214468314,-0.0476694173
1520527960654532414,-0.1847915308,-0.0375579824,0.6531686266,0.9986236866,-0.0001324115,-0.0209988615,-0.0480599912
1520527960662865414,-0.1847563556,-0.0373684627,0.6540232760,0.9986335343,-0.0008706997,-0.0198465508,-0.0483365331
1520527960671198414,-0.1845032917,-0.0373088132,0.6547074951,0.9986495153,-0.0006615934,-0.0195101140,-0.0481462707
1520527960679532414,-0.1839875719,-0.0375018928,0.6551609145,0.9986773783,-0.0014577521,-0.0201186527,-0.0472927989
1520527960687865414,-0.1837251128,-0.0377806828,0.6558140171,0.9986960290,-0.0019806191,-0.0195308879,-0.0471260358
1520527960696199414,-0.1835680635,-0.0379424080,0.6563620802,0.9987073956,-0.0021524548,-0.0186350902,-0.0472402200
1520527960704532414,-0.1833073473,-0.0385243895,0.6570518808,0.9987423958,-0.0035346698,-0.0176059482,-0.0468098654
1520527960712865414,-0.1829751226,-0.0390764119,0.6573891175,0.9987887712,-0.0043341586,-0.0170949570,-0.0459343886
1520527960721198414,-0.1826685537,-0.0395264253,0.6576722131,0.9988310975,-0.0048092926,-0.0161583451,-0.0453014040
1520527960729532414,-0.1823409134,-0.0402488544,0.6579660922,0.9988317164,-0.0048892149,-0.0166557368,-0.0450986077
1520527960737865414,-0.1820535650,-0.0413712990,0.6581286554,0.9988304362,-0.0056365534,-0.0159210741,-0.0453046175
1520527960746199414,-0.1818236452,-0.0421710158,0.6581783876,0.9988256129,-0.0049635993,-0.0154500302,-0.0456514436
1520527960754532414,-0.1814727406,-0.0433087058,0.6583912105,0.9988748506,-0.0057149188,-0.0142743380,-0.0448621865
1520527960762865414,-0.1811131008,-0.0444312691,0.6583377218,0.9989132215,-0.0058843853,-0.0135931505,-0.0441924899
1520527960771199414,-0.1811333017,-0.0454300245,0.6581168388,0.9989341260,-0.0059997083,-0.0119190094,-0.0441876970
1520527960779532414,-0.1807103953,-0.0469507751,0.6579975183,0.9989763165,-0.0063761309,-0.0108032376,-0.0434620986
1520527960787865414,-0.1803243199,-0.0485904469,0.6578484203,0.9990114140,-0.0075205032,-0.0102066357,-0.0426082311
1520527960796198414,-0.1797903912,-0.0501184528,0.6575966435,0.9990225625,-0.0069986290,-0.0101744434,-0.0424431318
1520527960804532414,-0.1795528571,-0.0518935262,0.6572879691,0.9990375370,-0.0080144426,-0.0088876062,-0.0421992753
1520527960812865414,-0.1792198471,-0.0534037636,0.6567118452,0.9990623618,-0.0073497193,-0.0079452897,-0.0419195813
1520527960821199414,-0.1788214086,-0.0554200199,0.6563159678,0.9990967175,-0.0082044061,-0.0073190919,-0.0410471407
1520527960829532414,-0.1785061033,-0.0573186246,0.6555342822,0.9991300950,-0.0076837072,-0.0065526155,-0.0404608111
1520527960837865414,-0.1782931445,-0.0592421743,0.6548071184,0.9991232726,-0.0070137153,-0.0061838227,-0.0408075265
1520527960846198414,-0.1780409223,-0.0615353634,0.6542158204,0.9991978551,-0.0091637834,-0.0040688875,-0.0387700358
1520527960854532414,-0.1778504328,-0.0635725875,0.6529647736,0.9992061202,-0.0057088150,-0.0039066026,-0.0392336247
1520527960862865414,-0.1773128218,-0.0662428482,0.6522037707,0.9992300486,-0.0067963788,-0.0038847986,-0.0384451250
1520527960871199414,-0.1772277698,-0.0687841159,0.6513812394,0.9992372148,-0.0066565498,-0.0030580505,-0.0383578848
1520527960879532414,-0.1769620688,-0.0709834109,0.6500247129,0.9992667290,-0.0051971490,-0.0030871975,-0.0378082422
1520527960887865414,-0.1767691272,-0.0737127961,0.6490132791,0.9992553605,-0.0045419036,-0.0025180429,-0.0382329063
1520527960896199414,-0.1766610141,-0.0759897436,0.6477405332,0.9993310794,-0.0031477521,-0.0002696301,-0.0364336745
1520527960904532414,-0.1763794027,-0.0790056012,0.6468353881,0.9993315429,-0.0032555852,-0.0012433345,-0.0363912430
1520527960912865414,-0.1764046232,-0.0817717768,0.6456711156,0.9993336111,-0.0025900859,-0.0000115098,-0.0364091339
1520527960921198414,-0.1758530205,-0.0846348544,0.6443794822,0.9993770178,-0.0015185430,-0.0008258288,-0.0352503667
1520527960929532414,-0.1758437389,-0.0875234790,0.6432170375,0.9994244726,-0.0012554249,0.0002559333,-0.0338981108
1520527960937865414,-0.1757580577,-0.0901908325,0.6414497203,0.9994208891,0.0013702123,0.0009379223,-0.0339871935
1520527960946199414,-0.1755143734,-0.0938053385,0.6406220671,0.9994410214,-0.0001532809,0.0012199552,-0.0334085751
